epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1058.66,0.95672,1.84503,0.90145,1.03062,0.61473,0.67792,0.6917,0.46154,0.53368,0.59285,0.58866,0.30844,1.21983,2.59297,1.31509,1.15947,0.000327065,0.000327065,0.000327065
40,1083.14,0.95206,1.71185,0.88297,1.07111,0.61473,0.67792,0.6917,0.46154,0.53368,0.59285,0.58866,0.30844,1.21983,2.59297,1.31509,1.15947,0.000333996,0.000333996,0.000333996
41,1108.33,0.97329,1.77741,0.92514,1.09531,0.67028,0.66122,0.68952,0.4759,0.59906,0.58443,0.61222,0.3267,1.20508,2.61048,1.28472,1.15104,0.000340848,0.000340848,0.000340848
42,1133.03,0.96717,1.62654,0.9129,1.09747,0.68533,0.6726,0.69528,0.46549,0.60053,0.58187,0.58911,0.32221,1.2334,2.6641,1.30171,1.15702,0.000347621,0.000347621,0.000347621
43,1159.26,0.96854,1.71572,0.87731,1.07061,0.68533,0.6726,0.69528,0.46549,0.60053,0.58187,0.58911,0.32221,1.2334,2.6641,1.30171,1.15702,0.000354314,0.000354314,0.000354314
44,1184.73,0.96488,1.7182,0.89989,1.06611,0.70763,0.66326,0.68485,0.44968,0.59168,0.58836,0.60264,0.30357,1.3355,2.75981,1.34735,1.22482,0.000360928,0.000360928,0.000360928
45,1210.74,0.95285,1.73447,0.85846,1.0593,0.70763,0.66326,0.68485,0.44968,0.59168,0.58836,0.60264,0.30357,1.3355,2.75981,1.34735,1.22482,0.000367463,0.000367463,0.000367463
46,1235.76,0.92585,1.69453,0.84641,1.05211,0.67084,0.65616,0.66889,0.43901,0.61751,0.5995,0.60752,0.31019,1.30817,2.59069,1.29335,1.20994,0.000373919,0.000373919,0.000373919
47,1260.69,0.93444,1.69148,0.84401,1.04419,0.67084,0.65616,0.66889,0.43901,0.61751,0.5995,0.60752,0.31019,1.30817,2.59069,1.29335,1.20994,0.000380296,0.000380296,0.000380296
48,1284.74,0.93028,1.69022,0.86376,1.0656,0.73396,0.63837,0.68929,0.45497,0.70891,0.60305,0.6386,0.33575,1.26652,2.57683,1.31813,1.19169,0.000386593,0.000386593,0.000386593
49,1309.43,0.98849,1.72861,0.86024,1.02923,0.73396,0.63837,0.68929,0.45497,0.70891,0.60305,0.6386,0.33575,1.26652,2.57683,1.31813,1.19169,0.000392811,0.000392811,0.000392811
50,1335.06,0.96466,1.63133,0.82364,1.03397,0.74572,0.65222,0.69498,0.45313,0.66394,0.56332,0.59659,0.31618,1.28533,2.54595,1.25797,1.19963,0.00039895,0.00039895,0.00039895
51,1361.24,0.91833,1.64415,0.78644,1.00909,0.74572,0.65222,0.69498,0.45313,0.66394,0.56332,0.59659,0.31618,1.28533,2.54595,1.25797,1.19963,0.000401,0.000401,0.000401
